long,long,long,long,
165,7000,0,7000,
187,0,0,5000,
285,1000,0,6000,
328,250,0,250,
407,100,0,100,
205,27000,0,27000,
325,36000,0,36000,
326,44000,0,44000,
1,10000,0,10000,
2,30000,0,30000,
3,60000,0,60000,
4,120000,0,120000,
5,300000,0,300000,
6,600000,0,600000,
7,5000,0,5000,
8,15000,0,15000,
9,30000,0,30000,
10,60000,0,60000,
11,10000,200,15000,
12,30000,200,40000,
13,60000,200,80000,
14,120000,10000,180000,
15,300000,10000,420000,
16,600000,20000,1200000,
17,5000,100,7000,
18,20000,0,20000,
19,30000,500,40000,
20,60000,1000,80000,
21,-1,0,-1,
22,45000,0,45000,
23,90000,0,90000,
24,150000,0,150000,
25,180000,0,180000,
26,240000,0,240000,
27,3000,0,3000,
28,5000,0,5000,
29,12000,0,12000,
30,1800000,0,1800000,
31,8000,0,8000,
32,6000,0,6000,
35,4000,0,4000,
36,1000,0,1000,
37,1,0,1,
38,0,0,0,
39,2000,0,2000,
40,1200000,0,1200000,
41,360000,0,360000,
42,3600000,0,3600000,
62,75000,0,75000,
63,25000,0,25000,
64,40000,0,40000,
65,1500,0,1500,
66,2500,0,2500,
85,18000,0,18000,
86,21000,0,21000,
105,9000,0,9000,
106,24000,0,24000,
125,35000,0,35000,
145,2700000,0,2700000,
327,500,0,500,
185,6000,0,21000,
186,2000,0,22000,
225,604800000,0,604800000,
245,50000,0,50000,
347,900000,0,900000,
265,55000,0,55000,
305,14000,0,14000,
367,7200000,0,7200000,
387,16000,0,16000,
